Year,State,State_Name,Percent_Adults,LowCI,HighCI,Sample_Size,Age,Education,Gender,Income,Race,Category,Sub_Category,status,Region
2018,US,National,32.5,30.0,35.0,6937.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Overweight,Other
2018,US,National,29.5,28.5,30.5,37131.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Inactive,Other
2013,US,National,29.3,28.9,29.7,263276.0,,,Female,,,Gender,Female,Overweight,Other
2018,US,National,11.5,10.3,12.9,8341.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2018,US,National,35.1,34.4,35.8,82636.0,55 - 64,,,,,Age (years),55 - 64,Obese,Other
2015,US,National,16.7,15.9,17.6,21539.0,18 - 24,,,,,Age (years),18 - 24,Obese,Other
2015,US,National,54.0,53.4,54.5,133512.0,65 or older,,,,,Age (years),65 or older,Active,Other
2016,US,National,28.6,28.3,28.9,341192.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Obese,Other
2015,US,National,51.8,51.3,52.3,161495.0,,,Male,,,Gender,Male,Active,Other
2015,US,National,32.2,31.4,33.0,52872.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Very Active,Other
2014,US,National,35.2,34.9,35.5,425875.0,,,,,,Total,Total,Overweight,Other
2015,US,National,37.1,36.0,38.1,32595.0,,,,"Less than $15,000",,Income,"Less than $15,000",Inactive,Other
2015,US,National,44.3,43.4,45.2,50745.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Active,Other
2015,US,National,36.7,34.4,38.9,7183.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Physical Training,Other
2011,US,National,37.0,36.4,37.6,85743.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2014,US,National,29.2,28.8,29.6,242169.0,,,Female,,,Gender,Female,Overweight,Other
2015,US,National,32.1,31.3,32.8,45319.0,35 - 44,,,,,Age (years),35 - 44,Obese,Other
2016,US,National,33.4,32.6,34.1,62605.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2015,US,National,29.9,29.1,30.6,54950.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Obese,Other
2015,US,National,27.0,26.7,27.4,229292.0,,,Female,,,Gender,Female,Inactive,Other
2015,US,National,35.5,33.3,37.9,6985.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Very Active,Other
2012,US,National,32.9,31.9,33.8,37655.0,,Less than high school,,,,Education,Less than high school,Obese,Other
2012,US,National,28.0,27.6,28.4,185040.0,,,Male,,,Gender,Male,Obese,Other
2015,US,National,53.4,53.1,53.7,299531.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Active,Other
2014,US,National,39.0,38.5,39.5,148971.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2014,US,National,21.4,20.8,22.1,52960.0,35 - 44,,,,,Age (years),35 - 44,Inactive,Other
2015,US,National,31.0,30.0,32.0,20090.0,18 - 24,,,,,Age (years),18 - 24,Very Active,Other
2012,US,National,37.7,36.8,38.7,37713.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2015,US,National,18.6,18.1,19.2,61491.0,45 - 54,,,,,Age (years),45 - 54,Active and Physical Training,Other
2011,US,National,28.4,27.7,29.1,64688.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Obese,Other
2015,US,National,50.1,49.6,50.5,219988.0,,,Female,,,Gender,Female,Active,Other
2014,US,National,24.5,23.9,25.2,75788.0,45 - 54,,,,,Age (years),45 - 54,Inactive,Other
2014,US,National,26.7,26.1,27.3,103734.0,55 - 64,,,,,Age (years),55 - 64,Inactive,Other
2014,US,National,35.2,32.8,37.7,6618.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Overweight,Other
2014,US,National,33.7,33.0,34.3,70884.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2015,US,National,32.2,30.3,34.1,7932.0,,,,,Asian,Race/Ethnicity,Asian,Physical Training,Other
2012,US,National,25.8,25.4,26.3,144296.0,65 or older,,,,,Age (years),65 or older,Obese,Other
2011,US,National,35.1,34.5,35.6,127112.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2011,US,National,33.4,32.6,34.2,61938.0,,,,Data not reported,,Income,Data not reported,Overweight,Other
2015,US,National,43.9,42.8,45.0,28573.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Active,Other
2013,US,National,28.3,27.9,28.7,194211.0,,,Male,,,Gender,Male,Obese,Other
2015,US,National,46.9,46.3,47.5,103862.0,,High school graduate,,,,Education,High school graduate,Active,Other
2013,US,National,28.3,28.0,28.6,457487.0,,,,,,Total,Total,Obese,Other
2015,US,National,31.3,31.0,31.6,378856.0,,,,,,Total,Total,Very Active,Other
2016,US,National,27.7,27.1,28.4,79600.0,,,,Data not reported,,Income,Data not reported,Inactive,Other
2013,US,National,37.9,37.3,38.5,111798.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Overweight,Other
2013,US,National,32.7,26.6,39.4,834.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Overweight,Other
2013,US,National,27.1,26.8,27.3,358345.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Obese,Other
2015,US,National,34.8,34.4,35.3,143065.0,,College graduate,,,,Education,College graduate,Very Active,Other
2015,US,National,38.6,37.6,39.7,27461.0,,Less than high school,,,,Education,Less than high school,Active,Other
2011,US,National,37.5,36.8,38.3,64664.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Overweight,Other
2013,US,National,36.7,35.9,37.5,58655.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Overweight,Other
2015,US,National,25.9,25.6,26.1,396649.0,,,,,,Total,Total,Inactive,Other
2015,US,National,30.7,29.7,31.7,35783.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Inactive,Other
2014,US,National,34.7,34.1,35.2,116243.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2015,US,National,15.0,14.6,15.3,148522.0,,College graduate,,,,Education,College graduate,Inactive,Other
2015,US,National,29.7,27.4,32.2,5823.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Inactive,Other
2012,US,National,33.7,31.4,36.1,6543.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2015,US,National,30.6,29.9,31.4,58280.0,,,,Data not reported,,Income,Data not reported,Very Active,Other
2014,US,National,37.3,36.6,37.9,70884.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2014,US,National,31.9,26.3,38.1,752.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Overweight,Other
2012,US,National,33.1,32.2,34.0,46419.0,,,,"Less than $15,000",,Income,"Less than $15,000",Obese,Other
2015,US,National,35.5,31.2,40.0,1615.0,,,,,Other,Race/Ethnicity,Other,Physical Training,Other
2012,US,National,21.2,20.9,21.6,153786.0,,College graduate,,,,Education,College graduate,Obese,Other
2012,US,National,27.4,27.0,27.7,257190.0,,,Female,,,Gender,Female,Obese,Other
2014,US,National,21.8,21.4,22.2,155627.0,,College graduate,,,,Education,College graduate,Obese,Other
2015,US,National,28.6,28.2,29.0,221909.0,,,Female,,,Gender,Female,Obese,Other
2012,US,National,37.8,37.0,38.7,57017.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Overweight,Other
2015,US,National,24.3,20.8,28.2,1691.0,,,,,Other,Race/Ethnicity,Other,Obese,Other
2011,US,National,8.7,7.5,10.1,8355.0,,,,,Asian,Race/Ethnicity,Asian,Obese,Other
2011,US,National,36.4,32.7,40.3,2669.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2015,US,National,27.5,26.5,28.4,35278.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Physical Training,Other
2014,US,National,27.0,26.2,27.8,38517.0,25 - 34,,,,,Age (years),25 - 34,Obese,Other
2012,US,National,35.4,32.1,38.8,2956.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2014,US,National,28.8,28.5,29.2,242169.0,,,Female,,,Gender,Female,Obese,Other
2012,US,National,37.6,36.9,38.3,78037.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2015,US,National,32.3,31.7,32.8,107739.0,,Some college or technical school,,,,Education,Some college or technical school,Physical Training,Other
2015,US,National,27.1,26.4,27.9,43463.0,35 - 44,,,,,Age (years),35 - 44,Very Active,Other
2012,US,National,35.3,29.9,41.1,950.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Overweight,Other
2015,US,National,22.1,19.9,24.4,5464.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Active and Physical Training,Other
2015,US,National,18.7,18.0,19.3,57850.0,,,,Data not reported,,Income,Data not reported,Active and Physical Training,Other
2013,US,National,37.0,36.3,37.7,78259.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2013,US,National,33.7,33.0,34.5,45270.0,25 - 34,,,,,Age (years),25 - 34,Overweight,Other
2015,US,National,33.2,32.4,34.0,53993.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2015,US,National,39.6,39.0,40.1,132200.0,65 or older,,,,,Age (years),65 or older,Very Active,Other
2011,US,National,34.6,33.7,35.6,38110.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2015,US,National,35.2,34.2,36.2,36483.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Overweight,Other
2011,US,National,26.3,25.2,27.3,20703.0,18 - 24,,,,,Age (years),18 - 24,Overweight,Other
2014,US,National,41.1,40.6,41.5,183706.0,,,Male,,,Gender,Male,Overweight,Other
2012,US,National,27.7,27.4,28.0,442230.0,,,,,,Total,Total,Obese,Other
2014,US,National,33.8,32.9,34.7,32434.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2015,US,National,18.3,13.7,24.1,694.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Inactive,Other
2014,US,National,30.2,29.7,30.7,116243.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2014,US,National,36.5,35.7,37.3,54340.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Overweight,Other
2015,US,National,46.6,45.5,47.7,20390.0,18 - 24,,,,,Age (years),18 - 24,Physical Training,Other
2012,US,National,15.0,14.3,15.8,22549.0,18 - 24,,,,,Age (years),18 - 24,Obese,Other
2015,US,National,33.4,32.7,34.0,88587.0,55 - 64,,,,,Age (years),55 - 64,Obese,Other
2011,US,National,25.9,25.2,26.7,44490.0,25 - 34,,,,,Age (years),25 - 34,Obese,Other
2013,US,National,37.8,36.8,38.7,36815.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Obese,Other
2015,US,National,22.7,20.9,24.6,7306.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Inactive,Other
2015,US,National,35.5,35.2,35.8,311093.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
2015,US,National,30.2,29.7,30.7,109147.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2013,US,National,31.7,29.3,34.2,8475.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2012,US,National,28.5,27.7,29.2,57017.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2014,US,National,37.6,37.0,38.1,112498.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Overweight,Other
2012,US,National,41.9,41.4,42.3,185040.0,,,Male,,,Gender,Male,Overweight,Other
2015,US,National,29.9,28.9,31.0,19924.0,18 - 24,,,,,Age (years),18 - 24,Active and Physical Training,Other
2014,US,National,30.7,29.9,31.4,54340.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Obese,Other
2015,US,National,17.4,16.6,18.2,20825.0,18 - 24,,,,,Age (years),18 - 24,Inactive,Other
2015,US,National,32.0,31.2,32.8,53836.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Physical Training,Other
2015,US,National,30.6,29.8,31.3,44271.0,35 - 44,,,,,Age (years),35 - 44,Physical Training,Other
2015,US,National,24.2,22.2,26.4,6945.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Active and Physical Training,Other
2011,US,National,32.6,32.0,33.2,86169.0,45 - 54,,,,,Age (years),45 - 54,Obese,Other
2012,US,National,28.9,28.2,29.6,61143.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Obese,Other
2015,US,National,35.2,32.7,37.7,6040.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Overweight,Other
2014,US,National,27.3,25.5,29.2,7813.0,,,,,Asian,Race/Ethnicity,Asian,Overweight,Other
2015,US,National,25.4,21.3,30.0,1538.0,,,,,Other,Race/Ethnicity,Other,Active and Physical Training,Other
2015,US,National,20.0,19.3,20.8,46367.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Active and Physical Training,Other
2015,US,National,27.6,26.9,28.3,64519.0,45 - 54,,,,,Age (years),45 - 54,Inactive,Other
2015,US,National,38.2,37.2,39.3,26243.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Overweight,Other
2015,US,National,24.8,24.1,25.6,51746.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Physical Training,Other
2015,US,National,24.3,24.0,24.6,310504.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Inactive,Other
2015,US,National,20.5,20.2,20.8,377253.0,,,,,,Total,Total,Active and Physical Training,Other
2011,US,National,27.8,27.4,28.2,191988.0,,,Male,,,Gender,Male,Obese,Other
2017,US,National,43.8,42.6,44.9,27842.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Active,Other
2011,US,National,34.0,31.6,36.4,8405.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2017,US,National,32.8,31.7,33.9,37101.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Obese,Other
2017,US,National,38.6,37.4,39.7,27518.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Overweight,Other
2017,US,National,37.0,36.2,37.8,62722.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2017,US,National,49.5,47.2,51.8,8112.0,,,,,Asian,Race/Ethnicity,Asian,Active,Other
2015,US,National,29.6,28.9,30.3,61732.0,45 - 54,,,,,Age (years),45 - 54,Very Active,Other
2017,US,National,36.1,35.8,36.5,311177.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Fruits Deficient,Other
2012,US,National,30.3,29.3,31.3,26522.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2017,US,National,58.8,58.3,59.3,151643.0,,College graduate,,,,Education,College graduate,Active,Other
2015,US,National,24.6,23.7,25.6,27269.0,,Less than high school,,,,Education,Less than high school,Very Active,Other
2015,US,National,28.9,27.0,31.0,7409.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Obese,Other
2012,US,National,31.6,30.8,32.3,69410.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2011,US,National,42.1,41.6,42.5,191914.0,,,Male,,,Gender,Male,Overweight,Other
2017,US,National,13.9,13.0,14.9,30976.0,,,,"Less than $15,000",,Income,"Less than $15,000",Active and Physical Training,Other
2015,US,National,29.4,28.5,30.4,34398.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Very Active,Other
2015,US,National,26.0,25.5,26.6,106597.0,,High school graduate,,,,Education,High school graduate,Physical Training,Other
2017,US,National,35.4,34.5,36.3,56026.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Inactive,Other
2015,US,National,52.8,52.0,53.7,53156.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Active,Other
2017,US,National,58.8,58.2,59.4,113851.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Active,Other
2014,US,National,32.2,31.2,33.2,25996.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2017,US,National,35.4,34.6,36.1,88110.0,55 - 64,,,,,Age (years),55 - 64,Obese,Other
2015,US,National,32.2,31.2,33.1,26243.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2017,US,National,35.4,34.6,36.3,56161.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Fruits Deficient,Other
2017,US,National,25.4,24.6,26.2,54919.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Physical Training,Other
2011,US,National,25.0,20.0,30.7,892.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Obese,Other
2015,US,National,23.4,22.7,24.1,35614.0,25 - 34,,,,,Age (years),25 - 34,Active and Physical Training,Other
2015,US,National,50.5,49.5,51.4,46819.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Active,Other
2017,US,National,35.3,35.0,35.6,408448.0,,,,,,Total,Total,Overweight,Other
2017,US,National,17.8,16.0,19.7,7166.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Veggies Deficient,Other
2015,US,National,34.1,33.2,34.9,53993.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Overweight,Other
2015,US,National,33.6,31.5,35.7,7409.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Overweight,Other
2012,US,National,23.4,22.9,23.9,107562.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Obese,Other
2013,US,National,35.8,35.5,36.1,358345.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Overweight,Other
2012,US,National,30.0,27.9,32.1,8252.0,,,,,Asian,Race/Ethnicity,Asian,Overweight,Other
2015,US,National,37.1,36.2,37.9,36389.0,25 - 34,,,,,Age (years),25 - 34,Physical Training,Other
2015,US,National,25.6,24.7,26.5,25483.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Very Active,Other
2015,US,National,37.5,36.8,38.2,64418.0,45 - 54,,,,,Age (years),45 - 54,Overweight,Other
2017,US,National,37.8,37.1,38.6,62896.0,45 - 54,,,,,Age (years),45 - 54,Fruits Deficient,Other
2012,US,National,34.0,33.0,35.0,37713.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Overweight,Other
2017,US,National,32.4,31.3,33.5,27518.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2014,US,National,27.8,27.5,28.1,336145.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Obese,Other
2017,US,National,36.9,36.1,37.8,41809.0,25 - 34,,,,,Age (years),25 - 34,Fruits Deficient,Other
2017,US,National,32.6,32.0,33.2,109854.0,,High school graduate,,,,Education,High school graduate,Inactive,Other
2017,US,National,16.3,15.9,16.8,116563.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Inactive,Other
2017,US,National,45.9,45.3,46.6,105246.0,,High school graduate,,,,Education,High school graduate,Active,Other
2011,US,National,33.0,26.8,39.8,892.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Overweight,Other
2017,US,National,32.6,32.1,33.0,173573.0,,,Male,,,Gender,Male,Very Active,Other
2013,US,National,29.6,29.1,30.1,125709.0,,Some college or technical school,,,,Education,Some college or technical school,Obese,Other
2017,US,National,32.1,31.4,32.8,85511.0,55 - 64,,,,,Age (years),55 - 64,Very Active,Other
2011,US,National,31.3,30.6,32.0,74049.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2017,US,National,41.0,34.3,48.1,850.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Physical Training,Other
2014,US,National,37.6,37.0,38.2,96564.0,55 - 64,,,,,Age (years),55 - 64,Overweight,Other
2015,US,National,21.6,21.1,22.1,104219.0,,Some college or technical school,,,,Education,Some college or technical school,Active and Physical Training,Other
2017,US,National,26.2,25.6,26.8,107490.0,,High school graduate,,,,Education,High school graduate,Physical Training,Other
2011,US,National,23.2,22.5,23.9,61948.0,,,,Data not reported,,Income,Data not reported,Obese,Other
2015,US,National,50.9,50.6,51.2,381483.0,,,,,,Total,Total,Active,Other
2017,US,National,37.1,36.3,38.0,41150.0,25 - 34,,,,,Age (years),25 - 34,Physical Training,Other
2015,US,National,30.2,29.9,30.6,306252.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Physical Training,Other
2017,US,National,38.2,33.3,43.4,1902.0,,,,,Other,Race/Ethnicity,Other,Very Active,Other
2017,US,National,30.1,29.7,30.4,310127.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Physical Training,Other
2015,US,National,18.1,17.8,18.4,217571.0,,,Female,,,Gender,Female,Active and Physical Training,Other
2017,US,National,18.4,17.8,19.0,59701.0,45 - 54,,,,,Age (years),45 - 54,Active and Physical Training,Other
2017,US,National,37.9,36.8,39.0,36267.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Fruits Deficient,Other
2017,US,National,37.4,36.4,38.3,49341.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Fruits Deficient,Other
2011,US,National,38.3,37.8,38.9,110079.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Overweight,Other
2017,US,National,25.2,24.2,26.2,27698.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Very Active,Other
2017,US,National,31.9,31.1,32.8,54597.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Very Active,Other
2012,US,National,36.0,35.5,36.6,130030.0,,High school graduate,,,,Education,High school graduate,Overweight,Other
2011,US,National,53.1,52.6,53.5,180319.0,,,Male,,,Gender,Male,Active,Other
2011,US,National,50.2,49.8,50.6,277769.0,,,Female,,,Gender,Female,Active,Other
2011,US,National,39.2,38.2,40.2,39157.0,,Less than high school,,,,Education,Less than high school,Active,Other
2011,US,National,47.5,46.9,48.1,133444.0,,High school graduate,,,,Education,High school graduate,Active,Other
2011,US,National,53.8,53.2,54.4,124465.0,,Some college or technical school,,,,Education,Some college or technical school,Active,Other
2011,US,National,60.7,60.2,61.1,160123.0,,College graduate,,,,Education,College graduate,Active,Other
2011,US,National,56.8,55.7,58.0,20296.0,18 - 24,,,,,Age (years),18 - 24,Active,Other
2011,US,National,49.8,49.0,50.7,44722.0,25 - 34,,,,,Age (years),25 - 34,Active,Other
2011,US,National,49.8,49.0,50.5,59537.0,35 - 44,,,,,Age (years),35 - 44,Active,Other
2011,US,National,51.1,50.4,51.7,84843.0,45 - 54,,,,,Age (years),45 - 54,Active,Other
2011,US,National,50.9,50.3,51.5,104475.0,55 - 64,,,,,Age (years),55 - 64,Active,Other
2011,US,National,52.7,52.2,53.2,144215.0,65 or older,,,,,Age (years),65 or older,Active,Other
2011,US,National,43.1,42.1,44.1,47499.0,,,,"Less than $15,000",,Income,"Less than $15,000",Active,Other
2011,US,National,45.1,44.3,45.8,71203.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Active,Other
2011,US,National,48.7,47.7,49.7,47468.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Active,Other
2011,US,National,51.6,50.7,52.4,60048.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Active,Other
2011,US,National,54.3,53.5,55.0,63628.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Active,Other
2011,US,National,60.8,60.2,61.4,108426.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Active,Other
2011,US,National,49.1,48.3,50.0,59816.0,,,,Data not reported,,Income,Data not reported,Active,Other
2011,US,National,53.9,53.6,54.2,362476.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Active,Other
2011,US,National,45.5,44.5,46.5,36227.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Active,Other
2011,US,National,45.8,44.7,46.9,28991.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Active,Other
2011,US,National,50.0,47.9,52.1,8024.0,,,,,Asian,Race/Ethnicity,Asian,Active,Other
2011,US,National,54.1,47.2,60.9,852.0,,,,,Hawaiian/Pacific Islander,Race/Ethnicity,Hawaiian/Pacific Islander,Active,Other
2011,US,National,51.1,48.4,53.8,6295.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Active,Other
2011,US,National,51.6,51.3,51.9,458088.0,,,,,,Total,Total,Active,Other
2011,US,National,55.9,53.3,58.4,8130.0,,,,,2 or more races,Race/Ethnicity,2 or more races,Active,Other
2011,US,National,28.3,27.4,29.1,63650.0,,,,Data not reported,,Income,Data not reported,Physical Training,Other
2011,US,National,50.5,46.4,54.7,2518.0,,,,,Other,Race/Ethnicity,Other,Active,Other
2011,US,National,23.4,23.0,23.8,178620.0,,,Male,,,Gender,Male,Active and Physical Training,Other
2011,US,National,17.9,17.6,18.2,275101.0,,,Female,,,Gender,Female,Active and Physical Training,Other
2011,US,National,12.0,11.3,12.8,38549.0,,Less than high school,,,,Education,Less than high school,Active and Physical Training,Other
2011,US,National,17.0,16.6,17.5,131965.0,,High school graduate,,,,Education,High school graduate,Active and Physical Training,Other
2011,US,National,22.2,21.7,22.7,123318.0,,Some college or technical school,,,,Education,Some college or technical school,Active and Physical Training,Other
2011,US,National,27.4,26.9,27.8,159030.0,,College graduate,,,,Education,College graduate,Active and Physical Training,Other
2011,US,National,30.7,29.7,31.9,20039.0,18 - 24,,,,,Age (years),18 - 24,Active and Physical Training,Other
2011,US,National,23.0,22.3,23.7,44357.0,25 - 34,,,,,Age (years),25 - 34,Active and Physical Training,Other
2011,US,National,20.4,19.8,21.0,59066.0,35 - 44,,,,,Age (years),35 - 44,Active and Physical Training,Other
2011,US,National,18.7,18.2,19.2,84189.0,45 - 54,,,,,Age (years),45 - 54,Active and Physical Training,Other
2011,US,National,17.1,16.7,17.6,103704.0,55 - 64,,,,,Age (years),55 - 64,Active and Physical Training,Other
2011,US,National,15.9,15.6,16.3,142366.0,65 or older,,,,,Age (years),65 or older,Active and Physical Training,Other
2011,US,National,29.0,28.7,29.3,370825.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Physical Training,Other
2011,US,National,15.6,14.8,16.5,46892.0,,,,"Less than $15,000",,Income,"Less than $15,000",Active and Physical Training,Other
2011,US,National,15.6,15.0,16.3,70445.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Active and Physical Training,Other
2011,US,National,18.4,17.6,19.2,47056.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Active and Physical Training,Other
2011,US,National,19.2,18.6,19.9,59633.0,,,,"$35,000 - $49,999",,Income,"$35,000 - $49,999",Active and Physical Training,Other
2011,US,National,21.6,21.0,22.3,63240.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Active and Physical Training,Other
2011,US,National,27.4,26.9,28.0,107839.0,,,,"$75,000 or greater",,Income,"$75,000 or greater",Active and Physical Training,Other
2011,US,National,19.6,18.8,20.4,58616.0,,,,Data not reported,,Income,Data not reported,Active and Physical Training,Other
2011,US,National,20.7,20.4,21.0,359256.0,,,,,Non-Hispanic White,Race/Ethnicity,Non-Hispanic White,Active and Physical Training,Other
2011,US,National,21.2,20.3,22.2,35802.0,,,,,Non-Hispanic Black,Race/Ethnicity,Non-Hispanic Black,Active and Physical Training,Other
2011,US,National,18.4,17.6,19.3,28660.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Active and Physical Training,Other
